,Title,Artist,Lyrics
Hard to Find,Hard to Find,Skillet,"Turned on the TV yesterday
So much pain bleeding through I had to look away
But inside me, the picture’s just the same
And every time I open up my eyes nothing seems to change
It never seems to change

You give me faith to believe there’s a way
To put the past finally behind me
And hope to make it through another night
You give me strength
During these dark times when I’m blind
You are my light when faith is hard to find
When faith is hard to find
Will you still hold on

Something woke me in the night
In the midst of the darkness, I recognize the light
Now inside me, the picture seems so clear
All the dying in my broken dreams is starting to appear
Starting to appear

You give me faith to believe there’s a way
To put the past finally behind me
And hope to make it through another night
You give me strength
During these dark times when I’m blind
You are my light when faith is hard to find
When faith is hard to find
Will you still hold on
Faith is hard to find

If I fall, will you hold on to me?
Through it all promise you won’t lose me
These days hope is hard to come by
And tonight I don’t know how I can survive

You give me faith to believe there’s a way
To put the past finally behind me
And hope to make it through another night
You give me strength
During these dark times when I’m blind
You are my light when faith is hard to find
When faith is hard to find
Will you still hold on

When faith is hard to find
Will you still hold on

You give me faith to believe there’s a way
To put the past finally behind me
And hope to make it through another night
You give me strength
During these dark times when I’m blind
You are my light when faith is hard to find
When faith is hard to find
Will you still hold on"
Everything Goes Black,Everything Goes Black,Skillet,"Chasing these shadows around this darkened room
I’ve laid here so long, I don’t even want to move
I need a minute now to heal
I need a minute now to remember how to feel

Whenever you’re gone away
The darkness hides the day
Whenever you’re gone, the bleeding won’t stop
It hurts 'till you come back
Everything goes black
Everything goes black

I reached out for you when I needed you to be here
All alone, chasing these shadows
I don’t want the pain but I’d rather hurt than not care
It’s so long, you’ve been away from here
I need a reason now to heal
I need something to believe in
I need a reason now to remember how to feel

Whenever you’re gone away
The darkness hides the day
Whenever you’re gone, the bleeding won’t stop
It hurts 'till you come back
Everything goes black
Everything goes black

Give me something to believe in
I still believe in you
But if you’re never here and I’m left all alone
Tell me what am I supposed to do

Whenever you’re gone away
The darkness hides the day
Whenever you’re gone, the bleeding won’t stop
It hurts 'till you come back
Everything goes black
Everything goes black

Everything goes black
Everything goes black
Whenever you’re gone everything goes black"
Forsaken,Forsaken,Skillet,"I recall going madly in love with you
And I remember this
How could I forget?
Regret is a needle
In my neck
It's slowly filling me
With poison
Spreading to my chest

Take my pain and numb me from this

Why do I have to beg
When all that is left
Is a memory
Forsaken
Why do I have to beg
When all that is left
Is a memory
Forsaken

I recall pledging my sole devotion to you
It reminds me how
Now I am on my knees
My guilt consumes
Lost the will in me
Wasting away before you
Hold me closer please

Take my pain and numb me from this

Why do I have to beg
When all that is left
Is a memory
Forsaken
Why do I have to beg
When all that is left
Is a memory
Forsaken

Yeah, yeah, yeah
You break me
Forsake
You break me
Forsake
You break me
You're breaking me

I recall going madly in love with you
And I remember this

Tell me
Why do I have to beg
When all that's left
Is a memory
Forsaken
Why do I have to beg
When all that's left
Is a memory
Forsaken

Yeah, yeah, yeah
Forsaken
Yeah, yeah, yeah
Tell me why, why, why, why"
Alien Youth,Alien Youth,Skillet,"(It's been confirmed that the aliens have landed)
(It's been confirmed that the aliens have landed)

Worldwide Jesus domination
Love conquers all
Rise like a chosen generation
There's no stopping it all
Come on freaks let's go
Come on freaks let's go
Get all the freaks and let's go
Yeah yeah

We're taking over the world
We're the Alien Youth
We're coming for your souls
We're gonna, we're gonna, we're gonna
Shake the world
We're the Alien Youth
We're taking over, over, over
Alien Youth

Come on freaks let's go
Come on freaks let's go

Do you believe that the aliens have landed
We're everywhere you go
Infiltrate at the break of revolution
You can't stop the revival
And we're not gonna leave this world alone
And we're not gonna leave it yeah

We're taking over the world
We're the Alien Youth
We're coming for your souls
We're gonna, we're gonna, we're gonna
Shake the world
We're the Alien Youth
We're taking over, over, over
Alien Youth

Come on freaks let's go
Get all the freaks and let's go
Come on freaks let's go
Get all the freaks and let's go
And we're not gonna leave this world alone
And we're not gonna leave it yeah
And we're not gonna leave this world alone
And we're not gonna leave

We're taking over the world
We're the Alien Youth
We're coming for your souls
We're gonna, we're gonna, we're gonna
Shake the world
We're the Alien Youth
We're taking over, over, over
We're taking over the world
We're the Alien Youth
We're coming for your souls
We're gonna, we're gonna, we're gonna
Shake the world
We're the Alien Youth
We're taking over, over, over
Alien Youth"
Invincible,Invincible,Skillet,"I, I'm invincible
I'm indestructible
It is my destiny
I, I'm invincible
I'm unshakable
Through the truth in my soul

You know you just can't kill a man when he's dead
You know the spirit survives (invincible)
You can't stop the advance of the Kingdom to come
You know the truth is alive (invincible)

To be invincible
Is unattainable
Without sacrifice
Feel, feel the birth inside
The life that cannot die
Are you invincible

You know you just can't kill a man when he's dead
You know the spirit survives (invincible)
You can't stop the advance of the Kingdom to come
You know the truth is alive (invincible)

Invincible, Invincible
You know you can't kill a man when he's dead
You know you can't
You know you can't kill a man when he's dead
You know you can't
You know you can't

You know you just can't kill a man when he's dead
You know the spirit survives (invincible)
You can't stop the advance of the Kingdom to come
You know the truth is alive (invincible)

You know you just can't kill a man when he's dead
You know the spirit survives (invincible)
You can't stop the advance of the Kingdom to come
You know the truth is alive (invincible)

You know you just can't kill a man when he's dead"
Shout to the Lord,Shout to the Lord,Skillet,"My Jesus, my Savior
Lord there is none like You
All of my days I want to praise
The wonders of Your mighty love
My comfort, my shelter
Tower of refuge and strength
So let every breath and all that I am
Never cease to worship You
Shout to the Lord, all the earth let us sing
Power and majesty praise to the King
Mountains bow down and the seas will roar
At the sound of Your name
I sing for joy at the works of Your hands
Forever I'll love You; forever I'll stand
Nothing compares to the promise I have in You
My Jesus, my Savior
Lord there is none like You
All of my days I want to praise
The wonders of Your mighty love
My comfort, my shelter
Tower of refuge and strength
So let every breath and all that I am
Never cease to worship You"
I Can,I Can,Skillet,"Looking on the sad times, the guilt and all the shame
I have learned to submit my existing hurts and pains
All the grief I have learned to set aside

Cause I am, I am, I am, I am
Feeling undernoted, feeling undermined
Can this grace of God cover me this time?

And when I feel the pain I know why I feel strange
And when I hear the rooster crow I am ashamed

Jesus on the cross and this cross upon my back
I have learned to submit then I whine about my lack
Sometimes I drop my cross, deserve a little rest
That is when I run to you and I nail your feet and your wrist

I am feeling undernoted, feeling undermined
Can this grace of God cover me this time?

And when I feel the pain I know why I feel strange
And when I hear the rooster crow I am ashamed
And when I feel the pain I know why I feel strange
And when I hear the rooster crow I am ashamed

And do you really love my soul, even after I hated you?
And do you really know my name, can I really come to you?
Are you really more faithful than the changing of the seasons and the morning sun?
And do you really know my name, can I really come to you?

I can, I can, I can, I can, I can, I can, I can, I can, I can, I can, I can, I can, I can, I can, I can, I do not care,  if the rooster crows, if the rooster crows, if the rooster crows, if the rooster crows
I can..."
You Are My Hope,You Are My Hope,Skillet,"Times are hard
Times have changed
Don't you say
But I keep holding on to You
It's hard to keep the faith alive day to day
Leaning on the strength I've found in You
You're the hope of all the Earth

You are my hope
You are my strength
You're everything
Everything I need
You are my hope
You are my life
You are my hope
You are my hope

Far beyond what I can see or comprehend
Etching Your eternity in me
Nations stream and angels sing, ""Jesus reigns""
And every knee bows down
You're the hope of all the Earth

You are my hope
You are my strength
You're everything
Everything I need
You are my hope
You are my life
You are my hope
You are my hope

Carry on and I sing of how
You love and I love you now
All the times that I start to sink
You come and You rescue me
You are my hope
You are my hope
You are my hope
You are my hope

You are my hope
You are my strength
You're everything
Everything I need
You are my hope
You are my life
You are my hope
You are my hope
You are my strength
You're everything
Everything I need
You are my hope
You are my life
You are my hope
You are my hope"
My Obsession,My Obsession,Skillet,"Your touch, your ways
Leave me dumb without reason
Your love, my cage
My prison so pleasing
I spend my days
Tangled in thoughts of you
Stuck in this place
Resigned to be your fool

I thirst no longer
Drenching my soul
Pour out like water

You're my only infatuation
Don't leave me stranded
In my obsession
My purpose, my possession
Live and die in my obsession
My obsession
Oh

Come down to me
Do not ever say that it's over
I kiss your feet
Worship the air you breathe
Your love, my gift
You go and I will follow
My dream, my wish
Don't leave me here so helpless

I thirst no longer
Drenching my soul
Pour out like water

You're my only infatuation
Don't leave me stranded
In my obsession
My purpose, my possession
Live and die in my obsession
My obsession
My obsession

Am I a lunatic?
I'm going crazy
For just a word from
For just a touch from you

And I'm exploding like chemicals
I'm going crazy, can't get enough
And I'm exploding like chemicals
I'm going crazy, can't get enough

I thirst no longer
I thirst, yeah
Drenching my soul
Drenching, oh
I thirst no longer
Drenching my soul
Pour out like water

You're my only infatuation
Don't leave me stranded
In my obsession
My purpose, my possession
Live and die in my obsession
Oh, oh, oh, my obsession
Oh, oh, oh, my obsession
My obsession"
Monster (Unleash the Beast),Monster (Unleash the Beast),Skillet,"Feel like a monster
I feel it deep within
I feel it deep within
Feel like a monster
I feel it deep within
Monster, monster, monster
It's just beneath the skin
I'm gonna show you, it's gonna hurt you
(feel like a monster)
I'm gonna show you, it's gonna hurt you
Can't control it

The secret side of me
It comes awake and I can't control it
So stay away from me
Save me, save me, save me, yea

I feel it deep within (I feel it deep within)
I feel like a monster
Save me, yea
It's just beneath the skin (it's just beneath the skin)
I feel like a monster
It's gonna hurt you
I, I feel like a monster
I'm gonna show you, it's gonna hurt you (stay away)
I, I feel like a monster
I'm gonna show you, it's gonna hurt you

My secret side I keep
It under lock and key
Save me, save me, save me, yea

I feel it deep within (I feel it deep within)
I feel like a monster
Save me, yea
It's just beneath the skin (it's just beneath the skin)
I feel like a monster
It's gonna hurt you
I, I feel like a monster
I'm gonna show you, it's gonna hurt you (stay away)
I, I feel like a monster
I'm gonna show you, it's gonna hurt you

It's hiding in the dark
It's teeth are razor sharp
There's no escape for me
It wants my soul, it wants my heart
No one can hear me scream
Maybe it's just a dream
Maybe it's inside of me
Stop this monster

I feel it deep within
It's just beneath the skin
I must confess that I feel like a (feel like a...)
I hate what I've become
The nightmare's just begun
I must confess that I feel like a (feel like a...)
(2x)
FEEL LIKE A MONSTER

I, I feel like a monster
I, I (it's just beneath the skin)
I'm gonna show you, it's gonna hurt you
It's just beneath the skin
I'm gonna show you, it's gonna hurt you
It's just beneath the skin
I'm gonna show you, it's gonna hurt you"
Stars (Film Version),Stars (Film Version),Skillet,"You spoke a word and life began
Told oceans where to start and where to end
You set in motion time and space
But still You come, and You call to me by name

The deepest depths and darkest nights
Can't separate, can't keep me from Your sight
I get so lost, forget my way
But still You love, and You don't forget my name

If You can hold the stars in place
You can hold my heart the same
Whenever I fall away
Whenever I start to break
So here I am, lifting up my heart
To the One who holds the stars
You’re the One who holds the stars

Your love has called my name
What do I have to fear
What do I have to fear
Your love has called my name
What do I have to fear
What do I have to fear

If You can hold the stars in place
Then You can hold my heart the same
So here I am, lifting up my heart
Lifting up my heart
If You can hold the stars in place
You can hold my heart the same
Whenever I fall away
Whenever I start to break
So here I am, lifting up my heart
To the One who holds the stars

You're the One who holds the stars"
"Hey You, I Love Your Soul","Hey You, I Love Your Soul",Skillet,"Am I a man who knows how to love
When you hate what you fear the most
I will wash your feet as you spit in my face
Hey you, I love your soul
I am going love you when you hate
You can't outrun or escape this liquid
My life poured out like water
I am gonna to drown you with maddening forgiveness
Hey you, I love your soul

I cannot depend on your hate to define my love
Am I strong enough to love your soul

Love doesn't care to receive what it gives
Bleeding compassion to extreme
Love stretches out to die for its enemies
Hey you, I love your soul

I can't depend on your hate to define my love
Am I strong enough to love your soul
No bounds on the deep, no bounds on the wide
Am I deep enough to love your soul

God I want to swim in the deep of You
God in You I am strong enough
Strong enough, strong enough

I can't depend on your hate to define my love
Am I strong enough to love your soul
No bounds on the deep, no bounds on the wide
Am I deep enough to love your soul"
Jesus Be Glorified,Jesus Be Glorified,Skillet,"Come and fear the Lord
And quake at his might
Come and bow your knee
And lift His banner high
Jesus be glorified
Jesus be glorified
Jesus be glorified
Jesus be glorified
Come and fear the Lord
And quake at his mights
Come and bow your knee
And lift His banner higher
Jesus be glorified
Jesus be glorified
Jesus be glorified
Jesus be glorified
Let the nations sing
Of the goodness of God
And let the people bring
Their lives to the cross
Jesus be glorified
Jesus be glorified
Jesus be glorified
Jesus be glorified
Everyone will see the King of Kings
Ruler of the earth and everything
Everyone will worship
Jesus be glorified
Jesus be glorified
Jesus be glorified
Jesus be glorified"
Imperfection,Imperfection,Skillet,"You're worth so much
It'll never be enough
To see what you have to give
How beautiful you are
Yet seem so far from everything
You're wanting to be
You're wanting to be

Tears falling down again
Tears falling down

You fall to your knees
You beg, you plead
Can I be somebody else
For all the times I hate myself?
Your failures devour your heart
In every hour, you're drowning
In your imperfection

You mean so much
That heaven would touch
The face of humankind for you
How special you are
Revel in your day
You're fearfully and wonderfully made
You're wonderfully made

Tears falling down again
Come let the healing begin

You fall to your knees
You beg, you plead
Can I be somebody else
For all the times I hate myself?
Your failures devour your heart
In every hour, you're drowning
In your imperfection

You're worth so much
So easily crushed
Want to be like everyone else
No one escapes
Every breath we take
Dealing with our own skeletons, skeletons

You fall to your knees
You beg, you plead
Can I be somebody else
For all the times I hate myself?
Your failures devour your heart
In every hour, you're drowning
In your imperfection

Won't you believe yeah
Won't you believe yeah
All the things I see in you
You're not the only one
You're not the only one
Drowning in imperfection"
"Jesus, Jesus (Holy and Anointed One)","Jesus, Jesus (Holy and Anointed One)",Skillet,"Jesus, Jesus
Holy and anointed One, Jesus
Jesus, Jesus
Risen and exalted One, Jesus
Your name is like honey on my lips
Your Spirit like water to my soul
Your Word is a lamp unto my feet
Jesus, I love You, I love You"
Kill Me Heal Me,Kill Me Heal Me,Skillet,"Break my bones and reset me
Piece by piece you break me
Pick up the cross cause it is killing time
How can I scream when the pain is
Such a release I get the courage
To pick up the nails cause it is killing time

Kill me, heal me
Kill me, heal me
On and on
Kill me, heal me
Kill me, heal me
On and on

Breathing your love
You're ferocious
You're in my lungs
Resuscitate
Craving your electricity
Feet to my pain you give
Wings to my fear your peace
Inhabits my blood
Your love is thick

Kill me, heal me
Kill me, heal me
On and on
Kill me, heal me
Kill me, heal me
On and on

I can't live without it
I can't live without it
I can't live without it
I can't live without it

Kill me, (Yeah) heal me
Kill me, heal me
On and on
Kill me, (Yeah) heal me
Kill me, heal me
On and on
Kill me, (Yeah) heal me
Kill me, heal me
On and on
Kill me, (Yeah) heal me
Kill me, heal me
On and on"
How Deep the Father’s Love For Us,How Deep the Father’s Love For Us,Skillet,"How deep the Father's love for us
How vast beyond all measure
That He should give His only Son
To make a wretch His treasure
How great the pain of searing loss
The Father turns His face away
As wounds which mar the chosen One
Bring many sons to glory
Behold the Man upon a cross
My sin upon His shoulders
Ashamed I hear my mocing voice
Call out among the scoffers
It was my sin that helf Him there
Until it was accomplished
His dying breath has brought me life
I knoww that it is finished
I will not boast in anything
No gifts, no power, no wisdom
But I will boast inJesus Christ
His death and resurrection
Why should I gain from His reward?
I cannot give an answer
But this I know with all my heart
His wounds have paid my ransom"
Your Name Is Holy,Your Name Is Holy,Skillet,"You are the Sovereign I AM
Your name is holy
You are the pure spotless lamb
Your name is holy
You are the Sovereign I AM
Your name is holy
You are the pure spotless lamb
Your name is holy
You are the Almighty One
Your name is holy
You are the Christ God's own son
Your name is holy
You are the Sovereign I AM
Your name is holy
You are the pure spotless lamb
Your name is holy
In Your name
There is mercy for sin
There is safety within
In Your holy name
In Your name
There is strength to remain
To stand in spite of pain
In Your holy name"
Thirst Is Taking Over,Thirst Is Taking Over,Skillet,"You alone are what my soul needs
You know the thirst is taking over
Hardly breathe, I am in urgent need
You know the thirst is taking over
The thirst is taking over

Hold me down, hold me down
Drip it on my tongue
And my convulsions stop
Thirst for love, thirst for your love
I could swallow your beauty whole

You alone are what my soul needs
You know the thirst is taking over
Hardly breathe, I am in urgent need
You know the thirst is taking over
The thirst is taking over

Running out, time's running out
Searching for the one who can conquer me
I'm gonna scream aloud, throw it down
Crash in the sweet obsession of you
I'm gonna swim and drown in the wake of you

You alone are what my soul needs
You know the thirst is taking over
Hardly breathe, I am in urgent need
You know the thirst is taking over
You know the thirst is taking over

I want to taste it
I need to taste it
Deep in the Saviors arms
I want to taste it
I need to taste it
Deep in the Saviors arms
I want to taste it
I need to taste it
Deep in the Saviors arms
I want to taste it
I need to taste it
Deep in the Saviors arms
I want to taste it
I need to taste it
Deep in the Saviors arms
I want to taste it
I need to taste it
Deep in the Saviors arms

You alone are what my soul needs
You know the thirst is taking over
Hardly breathe, I am in urgent need
You know the thirst is taking over
You alone are what my soul needs
You know the thirst is taking over
Hardly breathe, I am in urgent need
You know the thirst is taking over
You alone are what my soul needs
You know the thirst is taking over
Hardly breathe, I am in urgent need
You know the thirst is taking over

I want to drink you in
I am drinking you in
I want to drink you in
I want to drink you in
I am drinking you in
I want to drink you in
I want to drink you in
I am drinking you in
I want to drink you in

Hardly breathe, I am in urgent need
You know the thirst is taking over
The thirst is taking over

I want to taste it
I need to taste it
Deep in the Saviors arms
I want to taste it
I need to taste it
Deep in the Saviors arms
I want to taste it
I need to taste it
Deep in the Saviors arms
I want to taste it
I need to taste it
Deep in the Saviors arms
I want to taste it
I need to taste it
Deep in the Saviors arms"
A Little More,A Little More,Skillet,"Love is all around you now
So take a hold
Hidden in our words
It sometimes ain't enough
Do not suffocate day after day
It's building up
Cause when you are feeling weak
You know I'm strong enough

Just one more day
One more day

Oh, let the world crash
Love can take it
Oh, let the world come crashing down
Oh, let the world crash
Love can take it
Love can take a little
Love can give a little more

Love is indestructible
So take a hold
Sometimes hard to find
A reason good enough
I'll stand beside you
Never leave through it all
And faith will bring a way
To the impossible

Just one more day
One more day

Oh, let the world crash
Love can take it
Oh, let the world come crashing down
Oh, let the world crash
Love can take it
Love can take a little
Love can give a little more

You can find me, you can find me
You can find me anywhere
Take a look over your shoulder
I'll be standing there
Standing there
Love is all around you now
So take a hold
And faith will bring a way
To the impossible

Just one more day
(You can find me, You can find me)
One more day
(You can find me anywhere)
Just one more day
(You can find me, You can find me)
One more day
(You can find me anywhere)

Let the world crash
Love can take it
Oh, let the world come crashing down
Oh, let the world crash
Love can take it
Love can take a little
Love can take a little
Love can take a little
Love can give a little more
A little more
Take a little more
Take a little more"
Energy,Energy,Skillet,"Power is another word that I use to describe You
Your mighty winds come in and blow me away
Frightening, coming at me like lightning
It's You that I fear, yeah, yeah
I shake whenever You speak my name

And I'm surrounded
You overpower me
You're the sun and rain, you're a hurricane
You are everything I cannot see and can't explain
You're an enigma wrapped in a mystery
Everywhere I go, I can't escape Your energy
Oh

Divine is a reality that You define
You defy time
I see You in everything in fire and wind and rain
Captured is just the word to capture how I feel when I'm still
You are what I crave
You set me free I wanna be Your slave

And I'm surrounded
You overpower me
You're the sun and rain, you're a hurricane
You are everything I cannot see and can't explain
You're an enigma wrapped in a mystery
Everywhere I go, I can't escape Your energy
I can't escape Your energy
I can't escape Your energy
I can't escape Your energy
I can't escape Your energy
I can't escape Your energy
I can't escape Your energy
I can't escape Your energy
I can't escape Your energy

Power is another word that I use to describe You
Your mighty winds come and blow me away

You're the sun and rain, you're a hurricane
You are everything I cannot see and can't explain
You're an enigma wrapped in a mystery
Everywhere I go, I can't escape Your energy
I can't escape it
I can't escape
No, no, no, no, no, no, no
Everywhere I go, I can't escape Your energy"
Under My Skin,Under My Skin,Skillet,"When I feel you close to me
It's easy to believe
To the depths and back again
To find that I'm still needed
Feel the fear dissipate
When you are everything you are
Feel my soul come awake
You carry me away

When I hurt, when I bleed
You're holding me
Feel you scratching at the surface
Under my skin
When I hurt, when I bleed
You're holding me
Feel you scratching at the surface
Under my skin
Oh, under my skin
Oh, under my skin

Oh the sweet serenity
I'm beautifully addicted
You are more than I can take
I crave you undiluted
You calm the ache, I come awake
When you are everything you are
Feel the fear dissipate
You carry me away

When I hurt, when I bleed
You're holding me
Feel you scratching at the surface
Under my skin
When I hurt, when I bleed
You're holding me
Feel you scratching at the surface
Under my skin
Oh, under my skin
Oh, under my skin
Oh, yeah

Could I be lost
Could I disappear
Could I be lost
Would you find me here?
Could I be lost in a secret place?
Could I rest in the shadow of your face
Oh the sweet
(Could I be lost, could I disappear?)
Serenity
(Could I be lost, would you find me here?)
Beautifully
(Could I be lost in a secret place?)
A part of me
(Could I rest in the shadow of your face?)

When I hurt, when I bleed
You're holding me
Feel you scratching at the surface
Under my skin
Hurt, when I bleed
You're holding me
Feel you scratching at the surface
Under my skin
Oh, under my skin
Oh, under my skin"
Angels Fall Down,Angels Fall Down,Skillet,"I saw angels fall down
At the glory of the Lord
And as I raise my hands I see
I saw angels fall down
At the glory of the Lord
And as I hit the ground I see

And I fall down
Afraid and shaking here
And I fall down
I'm perfectly safe in you

I saw angels fall down
At the glory of the Lord
The hurt and the broken find rest here
I saw angels fall down
At the beauty of the Lord
And as I kneeled I cried to know Him

And I fall down
Afraid and shaking here
And I fall down
I'm perfectly safe in you
I'm perfectly safe in you
I'm perfectly safe in you

Yeah yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah"
Safe With You,Safe With You,Skillet,"Learning inside
I will be safe with you tonight
You cause the smile
And the teardrops in my eyes
Locked inside your every movement
Will I stand or will I fall?
Trapped inside of your walls of glory
I am just as dead leaves fall

Safe with you
Safe with you

Chaos in my head
The whole universe is at rest
When I am in your arms
Is when I feel the best
Locked inside your creative being
Whirling about your unfailing truth
Attacked with power by ferocious love
Salvation alone belongs to you

Safe with you
Safe with you

Lifting up my voice
To the God who really sees
The God who is consumed
With loving thoughts of me
The screaming winds
And the crashing of the oceans
Shifting sands and the changing of the seasons
As I stand in awe and wonder
Nothing in the world has prepared me for you

Jesus, Jesus, I am safe with you"
Fingernails,Fingernails,Skillet,"Never reaching what I want to reach
Never being who I want to be
Blaming me when I fall and fail
All my dreams splintering
Under my fingernails
Under my fingernails

I'm empty, lonely, and accused
Accused without a word
My fingernails are chipping down
From clawing in the dirt
I'm so lost, lost and confused
I threw it all away
How can I be beautiful
When I am so afraid

Never reaching what I want to reach
Never being who I want to be
Blaming me when I fall and fail
All my dreams splintering
Under my fingernails
All my dreams out of reach
Under my fingernails

I watched it all slip through my hands
My brokenness revealed
I'm so proud, I'm so proud
I'm crying to be filled
I'm killing, destroying the plague
That's killing me away
I've got to live, I've got to love
Like I am unafraid

Never reaching what I want to reach
Never being who I want to be
Blaming me when I fall and fail
All my dreams splintering
Under my fingernails
Never reaching what I want to reach
Never being who I want to be
Blaming me when I fall and fail
All my dreams splintering
Under my fingernails
All my dreams out of reach
Under my fingernails

I'm wasting, wasting every moment
I want to be tasting
Tasting every moment with you
I'm suffering, I'm bleeding, on my knees
Who's going to save me?
Suffering, bleeding
Save me from this pit of frailty

Never reaching what I want to reach
Never being who I want to be
Blaming me when I fall and fail
All my dreams splintering
Under my fingernails
Never reaching what I want to reach
Never being who I want to be
Blaming me when I fall and fail
All my dreams splintering
Under my fingernails
All my dreams out of reach
Under my fingernails
Never reaching me"
Your Love (Keeps Me Alive),Your Love (Keeps Me Alive),Skillet,"I walk through the desert, hide from the sun
All that I desire is You
Occasional water cools my thirst
All that I desire is You
I don't want to live dying on the inside

I breathe so softly, don't feel too content
Apathy whispers and makes me think
Am I just another man whose time went fast
What does it take to be called great
I don't want to live dying on the inside

Because Your love is better than life
Because Your voice heals me inside
Because my soul is satisfied
Because Your love keeps me alive

I cannot be silent, I am crying out
My soul is cold, my heart is numb
I break from my old self and step into You
You complete what was never enough
I don't want to live dying on the inside

Because Your love is better than life
Because Your voice heals me inside
Because my soul is satisfied
Because Your love keeps me alive

Keeps me alive with the strength to speak
This generation is dying to see
Who You are and how You free
Come Lord Jesus come

I have seen lots of dead men walking around
Make my heart, make my heart alive

Because Your love is better than life
Because Your voice heals me inside
Because my soul is satisfied
Because Your love keeps me alive
Because Your love is better than life
Because Your voice heals me inside
Because my soul is satisfied
Because Your love keeps me alive
Keeps me alive
Keeps me alive"
Saturn,Saturn,Skillet,"I ask him, when will I be free he
Said I am Asking him
When will I Change he said
No matter now No matter now

Saturn has a ring around it
You can never see it with your eyes
Saturn has a ring around it
Many moons know this to be true

You ask him
How can you
Be real he
Said you will be
Knowing him
How you do
Now he says
Rest in this
Rest in this

Saturn has a ring around it
You can never see it with your eyes
Saturn has a ring around it
Many moons know this to be true
Heaven has a ring around it
The angels sing a song over you
Heaven has a ring around you
If you do not see it know that it is true"
Locked in a Cage,Locked in a Cage,Skillet,"I wanna be locked in a cage
I wanna be strapped in a chair, hey hey
I wanna be where you are
If my insanity comes, hey hey hey
Wrapped up inside your
I want to break my legs
In case of thought to escape, hey hey
Keep the hammer out of my reach
If my pounding impulse comes, hey hey hey
Wrapped up inside Your arms
Locked up inside You

Hold me down cause I want to know You
You bring calm to my rage
You are life and I am thirsting for You
Hold me, hold me, locked in a cage

I love to be caught in you
I wanna be trapped in Your arms, hey hey
Your cage is rest to my bones
Your cage is peace to my soul, hey hey hey
Wrapped up inside Your arms
Locked up inside You

Hold me down cause I want to know You
You bring calm to my rage
You are life and I'm thirsting for You
Hold me, hold me, locked in a cage

Wrapped up inside Your
Wrapped up inside Your arms
I'm inside Your arms
I'm inside Your arms

Hold me down cause I want to know You
You bring calm to my rage
You are life and I'm thirsting for You
Hold me, hold me, locked in a cage
Hold me down cause I want to know You
You bring calm to my rage
You are life and I'm thirsting for You
Hold me, hold me, locked in a cage

I'm locked, I'm locked
I'm locked, I'm locked
I'm locked, I'm locked
I'm locked"
Awake and Alive (The Quickening),Awake and Alive (The Quickening),Skillet,"I'm at war with the world and they
Try to pull me into the dark
I struggle to find my faith
As I'm slippin' from your arms
(It's getting harder to stay awake
And my strength is fading fast
You breathe into me at last)

I'm awake I'm alive
Now I know what I believe inside
Now it's my time
I'll do what I want
'cause this is my life
Here (Right here)
Right now (Right now)
(stand my ground and never back down)
I know what I believe inside
I'm awake, and I'm alive

I'm at war with the world
'Cause I ain't never gonna sell my soul
I've already made up my mind
No matter what, I can't be bought or sold
(When my faith is getting weak
And I feel like giving in
You breathe into me again)

I'm awake, I'm alive
Now I know what I believe inside
Now it's my time
I'll do what I want 'cause this is my life
Here (Right here)
Right now (Right now)
(stand my ground and never back down)
I know what I believe inside
I'm awake, and I'm alive

In the dark, I can feel you in my sleep
In your arms, I feel you breathe into me
Forever hold this heart that I will give to you
Forever I will live for you
(Forever I will live for you)

I'm awake, and I'm alive
(I'm alive)
(Forever I will live for you)
I'm awake, and I'm alive
Now I know what I believe inside
Now it's my time
I'll do what I want 'cause this is my life
Here (Right here)
Right now (Right now)
(stand my ground and never back down)
I know what I believe inside
I'm awake, and I'm alive
I'm awake, and I'm alive
(I'm alive)
I'm awake, and I'm alive
(I'm alive)
I'm awake, and I'm alive
(I'm awake, and I'm alive)
Forever I will live for you
(Forever I will live for you)
I'm awake, and I'm alive
(I'm alive)
(Forever I will live for you)
Forever I will live for you
I'm awake, and I'm alive
(I'm alive)
(Forever I will live for you)

I'm awake, I'm alive
Forever I will live for you
I'm awake, and I'm alive"
Gasoline,Gasoline,Skillet,"I am sitting with my heart out on the table
I am doing a face to face with God
He picked up my heat and said
What you want me to do with this?
I just blinked my eyes no smile, no laugh, no tears
No shrugging my shoulders
It crossed my mind, Yeah I got an idea
You could take my heart and put it in a padlocked box
What if they grab too hard or smash it, or throw it down
I am scared of being hurt, I just want to live, live a happy life!

You want to, you want to
Soak my heart in gasoline
Light a match and consume me
Soak my pride in gasoline all of you and none of me

I was reminded my heart reeks of gasoline
It bears the mark of a slave committed to life
Anyone who wants it
Will have to grab it from a real big God try to touch me
You will be consumed, you¬ will be consumed I want to, I want to

I am sitting here with my heart out on the table
Next to a bloody mess that was once a man's heart
I looked at God and said, What do you want me to do with this?
He said, Already done, already done, that heart was Jesus"
